relation_id,from_model,to_model,relation_type,strength,direction,description
REL-001,P01,P08,SCAFFOLDS,0.9,unidirectional,First Principles thinking enables effective reframing by revealing assumptions to question
REL-002,P01,IN02,COMPOSES_WITH,0.8,unidirectional,Breaking down to fundamentals improves Premortem analysis quality
REL-003,P01,DE01,SCAFFOLDS,1,unidirectional,First Principles is the foundation of First Principles Decomposition
REL-004,P01,P06,PARALLELS,0.7,bidirectional,Both deal with understanding fundamental thinking patterns
REL-005,P01,IN17,SCAFFOLDS,0.8,unidirectional,Understanding first principles helps apply Chesterton's Fence properly
REL-006,P02,P03,PARALLELS,0.7,unidirectional,Multiple perspectives include different timeframes as one perspective type
REL-007,P02,P04,SCAFFOLDS,0.8,unidirectional,Taking multiple perspectives reveals different reference frames
REL-008,P02,P08,PARALLELS,0.8,bidirectional,Perspective-taking and reframing are complementary approaches
REL-009,P02,SY01,COMPOSES_WITH,0.7,bidirectional,Systems thinking requires multiple perspectives to understand interconnections
REL-010,P02,P16,SCAFFOLDS,0.6,unidirectional,Understanding multiple perspectives helps recognize information asymmetries
REL-011,P02,IN16,SCAFFOLDS,0.7,unidirectional,Perspective-taking is essential for Red Team Thinking
REL-012,P02,DE12,SCAFFOLDS,0.8,unidirectional,Understanding customer perspective is core to Jobs-to-be-Done
REL-013,P02,DE13,SCAFFOLDS,0.7,unidirectional,Different abstraction levels are different perspectives
REL-014,P02,SY11,SCAFFOLDS,0.8,unidirectional,Boundary objects work by accommodating multiple perspectives
REL-015,P03,RE05,SCAFFOLDS,0.9,unidirectional,Long timeframe thinking is essential for understanding compound growth
REL-016,P03,SY10,COMPOSES_WITH,0.8,unidirectional,Timeframe shifting reveals time delays between actions and consequences
REL-017,P03,IN03,PARALLELS,0.6,bidirectional,Different timeframes reveal what should be subtracted vs added
REL-018,P03,P09,SCAFFOLDS,0.9,unidirectional,Timeframe shifting is essential for second-order thinking
REL-019,P03,IN12,SCAFFOLDS,0.9,unidirectional,Regret minimization requires long timeframe perspective
REL-020,P03,DE16,SCAFFOLDS,0.8,unidirectional,Understanding time is foundational to temporal decomposition
REL-021,P03,RE20,SCAFFOLDS,0.8,unidirectional,Timeframe thinking helps manage temporal discounting
REL-022,P04,P05,COMPOSES_WITH,0.7,unidirectional,Reference frame affects how opportunity costs are perceived
REL-023,P04,P08,SCAFFOLDS,0.8,unidirectional,Changing reference frame is a form of reframing
REL-024,P04,IN01,PARALLELS,0.7,bidirectional,Inversion changes the reference frame dramatically
REL-025,P04,P11,PARALLELS,0.8,bidirectional,Anchoring bias is about reference frame dependence
REL-026,P05,DE04,COMPOSES_WITH,0.8,unidirectional,Opportunity cost thinking clarifies critical path priorities
REL-027,P05,DE05,COMPOSES_WITH,0.9,unidirectional,Understanding opportunity costs improves Pareto prioritization
REL-028,P05,IN05,PARALLELS,1,bidirectional,Both examine the cost of choices through an opportunity lens
REL-029,P05,IN04,SCAFFOLDS,0.7,unidirectional,Understanding resource constraints helps see opportunity costs
REL-030,P05,DE11,PARALLELS,0.7,bidirectional,Value chain analysis reveals opportunity costs of activities
REL-031,P05,SY04,PARALLELS,0.8,bidirectional,Leverage points minimize opportunity costs
REL-032,P05,IN18,PARALLELS,0.7,bidirectional,Killing darlings is accepting opportunity cost of attachment
REL-033,P06,P07,SCAFFOLDS,0.9,unidirectional,Understanding mental models helps distinguish map from territory
REL-034,P06,SY19,SCAFFOLDS,1,unidirectional,Mental models foundation enables meta-model selection
REL-035,P06,RE01,PARALLELS,0.6,bidirectional,Deliberate practice improves mental model application
REL-036,P06,P17,SCAFFOLDS,0.7,unidirectional,Understanding mental models helps recognize Dunning–Kruger effect
REL-037,P06,RE11,PARALLELS,0.6,bidirectional,Iterative deepening applies to learning mental models
REL-038,P06,RE12,SCAFFOLDS,0.9,unidirectional,Mental models framework enables meta-learning
